office_country, sales_value ,,,,,
France," £3,388.84 ",,,,,
France," £3,210.49 ",,,,,
France," £3,126.09 ",,,,,
France," £2,462.00 ",,,,,
France," £3,062.40 ",,,,,
France," £4,996.62 ",,,,,
France," £3,167.67 ",,,,,
France," £4,126.08 ",,,,,
France," £4,477.16 ",,,,,
France, £923.78 ,,,,,
France," £3,935.40 ",,,,,
France," £4,094.88 ",,,,,
France," £2,956.25 ",,,,,
France," £6,261.71 ",,,,,
France, £986.42 ,,,,,
France," £3,435.39 ",,,,,
France, £553.52 ,,,,,
France," £1,708.56 ",,,,,
UK," £5,571.80 ",,,,,
UK," £5,026.14 ",,,,,
UK," £3,284.28 ",,,,,
UK," £3,307.50 ",,,,,
UK," £1,283.48 ",,,,,
UK," £2,489.13 ",,,,,
UK," £2,164.40 ",,,,,
UK," £2,173.00 ",,,,,
UK," £3,970.26 ",,,,,
UK," £3,530.52 ",,,,,
UK," £1,670.75 ",,,,,
UK," £3,864.24 ",,,,,
UK," £2,215.50 ",,,,,
UK," £2,866.26 ",,,,,
UK," £2,850.75 ",,,,,
UK," £3,950.94 ",,,,,
UK," £1,491.38 ",,,,,
UK," £3,884.34 ",,,,,
UK," £3,759.60 ",,,,,
UK," £2,035.32 ",,,,,
UK," £1,429.44 ",,,,,
UK," £4,694.50 ",,,,,
UK," £2,073.12 ",,,,,
UK," £5,241.44 ",,,,,
UK," £8,116.50 ",,,,,
UK," £3,986.40 ",,,,,
UK," £2,753.76 ",,,,,
UK," £5,048.12 ",,,,,
UK," £1,686.06 ",,,,,
UK," £1,548.40 ",,,,,
UK," £3,782.90 ",,,,,
UK," £2,474.56 ",,,,,
USA," £2,554.44 ",,,,,
USA," £4,973.50 ",,,,,
USA," £2,163.50 ",,,,,
USA," £1,352.86 ",,,,,
USA," £7,273.14 ",,,,,
USA," £5,298.72 ",,,,,
USA," £1,742.88 ",,,,,
USA," £3,005.56 ",,,,,
USA," £3,215.52 ",,,,,
USA," £2,967.30 ",,,,,
USA," £5,864.88 ",,,,,
USA," £2,238.30 ",,,,,
USA," £4,151.52 ",,,,,
USA," £1,948.22 ",,,,,
USA, £687.20 ,,,,,
USA," £1,405.35 ",,,,,
USA," £6,534.41 ",,,,,
USA," £1,766.40 ",,,,,
USA," £1,274.46 ",,,,,
USA," £2,755.50 ",,,,,
USA," £3,472.48 ",,,,,
USA," £5,485.92 ",,,,,
USA," £4,636.50 ",,,,,
USA," £7,720.18 ",,,,,
USA," £6,098.72 ",,,,,
USA," £2,107.60 ",,,,,
USA," £2,929.92 ",,,,,
USA," £1,916.88 ",,,,,
USA," £3,771.57 ",,,,,
USA," £3,643.15 ",,,,,
USA," £2,557.80 ",,,,,
USA," £2,362.08 ",,,,,
USA," £2,268.94 ",,,,,
USA," £3,314.44 ",,,,,
USA," £1,935.36 ",,,,,
USA," £3,472.06 ",,,,,
USA," £1,831.44 ",,,,,
USA," £2,080.50 ",,,,,
USA," £1,414.72 ",,,,,
USA," £7,031.20 ",,,,,
USA," £2,070.62 ",,,,,
USA," £2,110.40 ",,,,,
USA," £2,835.00 ",,,,,
USA," £2,848.23 ",,,,,
USA," £3,180.60 ",,,,,
USA," £2,696.76 ",,,,,
USA," £2,970.40 ",,,,,
USA," £1,242.54 ",,,,,
USA," £1,235.97 ",,,,,
USA," £3,140.64 ",,,,,
USA," £2,325.40 ",,,,,
USA," £2,429.46 ",,,,,
USA," £4,669.70 ",,,,,
USA, £802.24 ,,,,,
USA," £6,944.00 ",,,,,
USA," £2,767.50 ",,,,,
USA," £3,455.64 ",,,,,
USA," £2,712.32 ",,,,,
USA," £1,497.44 ",,,,,
USA," £3,464.78 ",,,,,
USA," £4,914.67 ",,,,,
USA," £1,707.03 ",,,,,
USA," £5,520.48 ",,,,,
USA," £1,143.45 ",,,,,
USA," £1,974.25 ",,,,,
USA," £1,144.94 ",,,,,
USA," £1,570.80 ",,,,,
USA," £4,552.00 ",,,,,
USA," £3,085.74 ",,,,,
USA," £7,368.00 ",,,,,
USA," £6,075.00 ",,,,,
USA," £1,488.75 ",,,,,
USA," £3,386.80 ",,,,,
USA," £2,236.95 ",,,,,
USA," £5,275.24 ",,,,,
USA," £1,088.32 ",,,,,
USA," £2,420.00 ",,,,,
USA," £1,818.25 ",,,,,
USA," £3,187.84 ",,,,,
USA," £7,241.83 ",,,,,
USA," £3,834.54 ",,,,,
USA," £4,069.44 ",,,,,
USA," £3,389.28 ",,,,,
USA," £5,285.99 ",,,,,
USA," £3,194.64 ",,,,,
USA," £4,096.03 ",,,,,
USA," £1,441.59 ",,,,,
USA," £3,782.61 ",,,,,
USA," £1,856.88 ",,,,,
USA," £4,354.42 ",,,,,
USA," £2,080.88 ",,,,,
USA," £3,351.85 ",,,,,
USA," £10,286.40 ",,,,,
USA," £3,248.00 ",,,,,
USA," £4,417.82 ",,,,,
USA," £1,091.75 ",,,,,
USA," £7,017.60 ",,,,,
USA," £1,452.90 ",,,,,
USA," £3,467.97 ",,,,,
USA," £3,754.75 ",,,,,
USA," £3,373.66 ",,,,,
USA," £1,901.90 ",,,,,
USA," £3,541.60 ",,,,,
USA," £2,782.89 ",,,,,
USA," £1,726.53 ",,,,,
USA," £1,087.32 ",,,,,
USA, £999.58 ,,,,,
USA," £1,246.51 ",,,,,
USA," £4,242.48 ",,,,,
USA," £1,085.04 ",,,,,
USA," £3,390.20 ",,,,,
USA," £1,991.20 ",,,,,
USA," £6,377.60 ",,,,,
USA," £5,844.56 ",,,,,
USA," £5,357.66 ",,,,,
USA," £4,368.00 ",,,,,
USA," £2,416.95 ",,,,,
USA," £3,738.38 ",,,,,
USA," £2,907.66 ",,,,,
USA," £4,607.68 ",,,,,
USA," £2,108.25 ",,,,,
USA," £2,949.52 ",,,,,
USA," £2,944.00 ",,,,,
USA," £3,567.79 ",,,,,
USA," £3,819.84 ",,,,,
USA," £1,863.20 ",,,,,
USA," £1,679.92 ",,,,,
USA," £5,718.72 ",,,,,
USA," £5,109.72 ",,,,,
USA," £4,011.50 ",,,,,
USA," £1,343.75 ",,,,,
USA," £2,530.20 ",,,,,
USA," £1,575.45 ",,,,,
USA," £2,682.68 ",,,,,
USA," £2,153.58 ",,,,,
USA, £887.40 ,,,,,
USA," £1,603.20 ",,,,,
USA," £4,667.04 ",,,,,
USA," £2,854.30 ",,,,,
USA," £5,652.16 ",,,,,
USA," £5,366.48 ",,,,,
USA," £4,882.74 ",,,,,
USA," £3,299.20 ",,,,,
USA," £4,011.50 ",,,,,
USA," £4,216.50 ",,,,,
USA," £4,486.17 ",,,,,
USA," £1,805.31 ",,,,,
USA," £2,402.40 ",,,,,
USA," £3,213.87 ",,,,,
USA," £2,228.72 ",,,,,
USA," £2,761.44 ",,,,,
USA," £3,439.10 ",,,,,
USA," £2,916.71 ",,,,,
USA," £1,550.00 ",,,,,
USA," £4,229.28 ",,,,,
USA," £4,497.86 ",,,,,
USA," £3,192.38 ",,,,,
USA," £4,212.00 ",,,,,
USA," £3,023.60 ",,,,,
USA," £6,761.50 ",,,,,
USA," £1,947.24 ",,,,,
USA," £5,978.98 ",,,,,
USA," £2,375.45 ",,,,,
USA," £1,327.19 ",,,,,
USA," £2,365.78 ",,,,,
USA," £6,066.45 ",,,,,
USA," £1,988.70 ",,,,,
USA," £1,599.82 ",,,,,
USA," £4,546.35 ",,,,,
USA," £1,789.92 ",,,,,
USA," £5,138.76 ",,,,,
USA," £4,282.08 ",,,,,
USA," £2,202.24 ",,,,,
USA," £3,752.10 ",,,,,
USA," £4,937.73 ",,,,,
USA," £2,079.00 ",,,,,
USA," £2,885.63 ",,,,,
USA," £2,418.00 ",,,,,
USA," £5,847.10 ",,,,,
USA," £1,792.00 ",,,,,
UK," £2,701.50 ",,,,,
UK," £4,343.56 ",,,,,
UK," £1,463.85 ",,,,,
UK," £2,040.10 ",,,,,
UK," £5,522.06 ",,,,,
UK," £7,541.59 ",,,,,
UK," £5,971.56 ",,,,,
UK," £1,706.40 ",,,,,
UK," £4,471.20 ",,,,,
UK," £2,715.38 ",,,,,
UK," £3,423.80 ",,,,,
UK," £2,468.63 ",,,,,
UK," £6,099.72 ",,,,,
UK," £3,371.83 ",,,,,
UK," £1,685.42 ",,,,,
UK," £2,198.34 ",,,,,
UK," £2,588.74 ",,,,,
UK," £3,231.06 ",,,,,
UK," £3,313.15 ",,,,,
UK," £1,613.55 ",,,,,
UK," £2,913.90 ",,,,,
UK," £4,552.42 ",,,,,
USA," £2,881.89 ",,,,,
USA," £2,328.96 ",,,,,
USA," £1,486.52 ",,,,,
USA," £4,052.75 ",,,,,
USA," £3,559.53 ",,,,,
USA," £2,228.20 ",,,,,
USA," £1,810.60 ",,,,,
USA," £2,797.44 ",,,,,
USA," £9,394.28 ",,,,,
USA," £3,163.00 ",,,,,
USA," £1,453.80 ",,,,,
USA," £3,648.06 ",,,,,
USA," £1,656.75 ",,,,,
USA," £4,903.08 ",,,,,
USA," £4,014.12 ",,,,,
USA," £3,214.36 ",,,,,
USA," £2,952.13 ",,,,,
USA," £4,381.04 ",,,,,
USA," £1,014.24 ",,,,,
USA," £3,722.16 ",,,,,
USA," £2,047.65 ",,,,,
USA," £2,440.50 ",,,,,
USA," £4,128.54 ",,,,,
USA," £4,653.72 ",,,,,
USA," £2,562.00 ",,,,,
USA," £1,528.30 ",,,,,
USA," £2,423.00 ",,,,,
USA," £2,778.56 ",,,,,
USA," £1,778.00 ",,,,,
USA," £2,529.60 ",,,,,
USA," £1,698.06 ",,,,,
USA," £4,283.52 ",,,,,
USA," £4,023.60 ",,,,,
USA," £3,686.34 ",,,,,
USA," £5,898.72 ",,,,,
USA," £2,575.50 ",,,,,
USA," £1,909.46 ",,,,,
USA," £2,376.00 ",,,,,
USA," £3,256.40 ",,,,,
USA," £2,220.48 ",,,,,
USA," £2,524.20 ",,,,,
USA," £3,232.60 ",,,,,
USA," £1,230.73 ",,,,,
USA," £1,990.80 ",,,,,
USA," £3,661.06 ",,,,,
USA," £4,226.69 ",,,,,
USA," £3,093.93 ",,,,,
USA," £5,055.60 ",,,,,
USA," £1,942.00 ",,,,,
USA," £1,337.70 ",,,,,
USA," £3,065.85 ",,,,,
USA," £2,705.50 ",,,,,
USA," £1,849.15 ",,,,,
USA," £4,651.04 ",,,,,
USA," £1,742.65 ",,,,,
USA," £3,376.38 ",,,,,
USA," £2,188.40 ",,,,,
USA," £4,279.86 ",,,,,
USA," £7,498.90 ",,,,,
USA," £3,072.72 ",,,,,
USA," £5,402.24 ",,,,,
USA," £2,448.93 ",,,,,
USA," £3,997.11 ",,,,,
USA," £1,920.38 ",,,,,
USA," £2,117.36 ",,,,,
USA," £2,474.94 ",,,,,
USA," £3,144.30 ",,,,,
USA," £2,649.20 ",,,,,
USA," £3,640.95 ",,,,,
USA," £1,813.68 ",,,,,
France," £4,468.96 ",,,,,
France," £4,566.99 ",,,,,
France," £3,261.60 ",,,,,
France," £3,559.17 ",,,,,
France," £3,816.85 ",,,,,
France," £4,529.60 ",,,,,
France," £1,820.70 ",,,,,
France," £1,338.04 ",,,,,
France," £2,767.70 ",,,,,
France," £1,818.25 ",,,,,
France," £2,770.95 ",,,,,
France," £3,781.47 ",,,,,
France," £1,705.92 ",,,,,
France," £4,928.20 ",,,,,
France," £3,307.47 ",,,,,
France," £3,321.32 ",,,,,
France," £2,328.00 ",,,,,
France," £3,932.74 ",,,,,
France," £4,486.22 ",,,,,
France," £2,832.68 ",,,,,
France," £1,860.93 ",,,,,
France," £3,303.09 ",,,,,
France," £1,001.43 ",,,,,
France," £1,841.52 ",,,,,
France," £3,107.43 ",,,,,
France," £4,031.40 ",,,,,
France," £5,393.64 ",,,,,
France," £7,630.28 ",,,,,
France," £3,895.46 ",,,,,
France," £2,398.01 ",,,,,
France," £1,815.00 ",,,,,
France," £4,473.20 ",,,,,
France," £1,652.61 ",,,,,
France," £2,494.00 ",,,,,
France," £2,497.05 ",,,,,
France," £4,357.50 ",,,,,
France," £1,708.20 ",,,,,
France," £2,593.50 ",,,,,
France, £872.80 ,,,,,
France," £3,726.72 ",,,,,
France," £2,472.54 ",,,,,
France," £1,776.52 ",,,,,
France," £3,771.60 ",,,,,
France," £2,701.20 ",,,,,
France," £3,229.80 ",,,,,
France," £2,231.40 ",,,,,
France," £2,808.96 ",,,,,
France," £5,412.52 ",,,,,
France," £3,291.75 ",,,,,
France," £7,559.52 ",,,,,
France," £2,202.42 ",,,,,
France," £4,092.16 ",,,,,
France, £697.83 ,,,,,
France," £1,935.96 ",,,,,
France," £6,600.21 ",,,,,
France," £3,550.68 ",,,,,
France," £2,199.36 ",,,,,
France," £5,535.20 ",,,,,
France, £892.16 ,,,,,
France, £881.76 ,,,,,
France," £3,892.98 ",,,,,
France," £3,648.15 ",,,,,
France," £3,406.92 ",,,,,
France," £4,019.26 ",,,,,
France," £1,293.60 ",,,,,
France," £5,482.52 ",,,,,
France," £4,699.20 ",,,,,
France," £6,231.60 ",,,,,
France," £5,213.25 ",,,,,
France," £2,530.93 ",,,,,
France," £1,947.15 ",,,,,
France," £3,680.10 ",,,,,
France," £1,270.92 ",,,,,
France," £2,103.57 ",,,,,
France," £4,630.36 ",,,,,
France," £5,780.04 ",,,,,
France," £3,986.40 ",,,,,
France, £970.40 ,,,,,
France," £6,095.25 ",,,,,
France," £2,613.90 ",,,,,
France," £1,319.04 ",,,,,
France," £2,490.23 ",,,,,
France," £3,142.80 ",,,,,
France," £1,642.29 ",,,,,
France," £3,895.60 ",,,,,
France," £4,578.84 ",,,,,
France," £5,763.20 ",,,,,
France," £2,214.08 ",,,,,
France," £1,731.90 ",,,,,
France," £5,242.68 ",,,,,
France," £2,034.56 ",,,,,
France," £3,446.36 ",,,,,
France," £1,697.85 ",,,,,
France," £4,624.84 ",,,,,
France," £1,590.75 ",,,,,
France," £2,495.68 ",,,,,
France," £7,726.81 ",,,,,
France," £2,615.04 ",,,,,
France," £2,915.50 ",,,,,
France," £3,348.32 ",,,,,
France," £1,529.04 ",,,,,
France," £3,024.50 ",,,,,
France," £4,026.82 ",,,,,
France," £2,817.12 ",,,,,
France," £2,558.80 ",,,,,
France," £1,753.22 ",,,,,
France," £3,507.60 ",,,,,
France," £3,664.32 ",,,,,
France," £2,698.41 ",,,,,
France," £1,749.60 ",,,,,
France," £2,254.35 ",,,,,
France, £875.91 ,,,,,
France," £1,778.92 ",,,,,
France," £2,187.20 ",,,,,
France," £3,740.17 ",,,,,
France," £5,129.76 ",,,,,
France," £2,599.08 ",,,,,
France," £4,574.40 ",,,,,
France," £3,608.76 ",,,,,
France," £4,938.12 ",,,,,
France," £4,295.04 ",,,,,
France," £3,773.23 ",,,,,
France," £1,674.75 ",,,,,
France," £1,834.30 ",,,,,
France," £2,196.00 ",,,,,
France," £2,493.40 ",,,,,
France," £4,999.61 ",,,,,
France," £2,140.25 ",,,,,
France," £4,186.92 ",,,,,
France," £2,864.16 ",,,,,
France," £3,624.90 ",,,,,
France," £5,949.68 ",,,,,
France," £3,886.39 ",,,,,
France," £2,106.60 ",,,,,
France," £3,342.54 ",,,,,
France," £2,602.20 ",,,,,
France," £1,928.75 ",,,,,
France," £1,661.04 ",,,,,
France," £3,229.58 ",,,,,
France," £2,500.08 ",,,,,
France," £2,576.00 ",,,,,
France," £2,134.16 ",,,,,
France," £1,991.43 ",,,,,
France," £2,701.65 ",,,,,
France," £2,433.00 ",,,,,
France, £961.00 ,,,,,
France," £2,704.57 ",,,,,
France," £1,869.30 ",,,,,
France," £3,124.75 ",,,,,
France," £2,300.10 ",,,,,
France," £1,345.68 ",,,,,
France," £2,667.28 ",,,,,
France," £4,403.84 ",,,,,
France," £2,105.04 ",,,,,
France," £1,253.62 ",,,,,
France," £3,755.60 ",,,,,
France," £6,366.57 ",,,,,
France," £4,131.12 ",,,,,
France," £2,849.00 ",,,,,
France," £1,988.20 ",,,,,
France," £4,389.44 ",,,,,
France," £2,944.25 ",,,,,
France," £1,388.70 ",,,,,
France," £2,467.08 ",,,,,
France," £5,239.39 ",,,,,
France," £1,209.24 ",,,,,
France," £3,633.42 ",,,,,
France," £3,396.03 ",,,,,
France," £1,861.56 ",,,,,
France," £2,321.46 ",,,,,
France," £4,146.30 ",,,,,
France," £1,468.28 ",,,,,
France," £6,320.57 ",,,,,
France," £1,688.40 ",,,,,
France," £5,978.98 ",,,,,
France," £1,254.19 ",,,,,
France," £2,422.36 ",,,,,
France," £4,263.60 ",,,,,
France," £3,314.44 ",,,,,
France," £1,432.00 ",,,,,
France," £6,099.60 ",,,,,
France," £1,372.95 ",,,,,
France," £3,292.08 ",,,,,
France," £4,295.04 ",,,,,
France," £1,561.60 ",,,,,
France," £2,385.72 ",,,,,
France," £4,780.00 ",,,,,
France," £3,295.74 ",,,,,
France," £2,503.36 ",,,,,
France," £1,607.76 ",,,,,
France," £2,273.92 ",,,,,
France, £955.84 ,,,,,
France," £1,016.01 ",,,,,
France," £2,780.64 ",,,,,
France," £4,909.08 ",,,,,
France," £3,390.20 ",,,,,
France," £3,094.68 ",,,,,
France," £1,411.26 ",,,,,
France," £3,214.35 ",,,,,
France," £3,015.84 ",,,,,
France," £7,322.13 ",,,,,
France," £2,176.20 ",,,,,
France," £5,239.44 ",,,,,
France," £2,162.72 ",,,,,
France," £1,157.20 ",,,,,
France," £1,329.60 ",,,,,
France," £2,459.10 ",,,,,
France," £1,714.24 ",,,,,
France," £2,460.92 ",,,,,
France," £2,752.68 ",,,,,
France," £1,847.56 ",,,,,
France," £3,272.00 ",,,,,
France," £1,525.65 ",,,,,
France," £2,705.44 ",,,,,
France," £2,212.76 ",,,,,
France," £3,358.08 ",,,,,
France," £2,217.54 ",,,,,
France," £1,909.95 ",,,,,
France," £2,294.36 ",,,,,
France," £3,586.50 ",,,,,
France," £2,467.61 ",,,,,
France," £3,357.75 ",,,,,
France," £2,487.14 ",,,,,
France," £2,176.00 ",,,,,
France," £3,741.30 ",,,,,
France," £2,413.20 ",,,,,
France," £2,605.68 ",,,,,
France," £2,383.50 ",,,,,
France," £2,254.06 ",,,,,
France," £2,980.34 ",,,,,
France," £4,623.15 ",,,,,
France," £1,648.58 ",,,,,
France," £1,626.56 ",,,,,
France," £3,851.33 ",,,,,
France," £1,694.88 ",,,,,
France," £1,677.90 ",,,,,
France," £5,439.42 ",,,,,
France," £6,175.83 ",,,,,
France," £6,735.68 ",,,,,
France," £2,342.01 ",,,,,
France," £9,449.40 ",,,,,
France, £995.40 ,,,,,
France," £7,693.00 ",,,,,
France, £986.40 ,,,,,
France," £3,373.42 ",,,,,
France, £966.34 ,,,,,
France," £2,738.58 ",,,,,
France," £5,242.38 ",,,,,
France," £5,245.20 ",,,,,
France," £9,109.52 ",,,,,
France," £3,036.60 ",,,,,
France," £2,115.00 ",,,,,
France," £3,826.20 ",,,,,
France," £10,072.00 ",,,,,
France," £5,960.36 ",,,,,
France," £5,859.00 ",,,,,
France," £1,046.50 ",,,,,
France," £2,417.36 ",,,,,
France," £3,955.08 ",,,,,
UK," £5,717.64 ",,,,,
UK," £1,957.30 ",,,,,
UK," £5,730.04 ",,,,,
UK," £3,575.95 ",,,,,
UK," £2,425.92 ",,,,,
UK," £3,491.00 ",,,,,
UK," £1,576.12 ",,,,,
UK," £3,033.28 ",,,,,
UK," £3,686.50 ",,,,,
UK," £4,937.63 ",,,,,
UK," £3,556.34 ",,,,,
UK," £1,626.80 ",,,,,
UK," £2,366.13 ",,,,,
UK," £3,380.26 ",,,,,
UK," £4,968.00 ",,,,,
UK," £1,797.58 ",,,,,
UK," £2,946.60 ",,,,,
UK," £4,983.79 ",,,,,
UK," £4,937.94 ",,,,,
France," £6,392.00 ",,,,,
France," £8,434.52 ",,,,,
France," £4,114.52 ",,,,,
France," £3,004.98 ",,,,,
France," £3,333.74 ",,,,,
France," £3,094.68 ",,,,,
France," £5,072.71 ",,,,,
France," £3,232.24 ",,,,,
France," £3,773.50 ",,,,,
France," £2,214.00 ",,,,,
France," £2,511.69 ",,,,,
France," £1,882.32 ",,,,,
France," £3,594.24 ",,,,,
France," £2,184.82 ",,,,,
France," £1,119.25 ",,,,,
France," £4,521.72 ",,,,,
France," £3,031.08 ",,,,,
France," £1,468.40 ",,,,,
France," £2,802.35 ",,,,,
France," £7,058.45 ",,,,,
France," £5,303.32 ",,,,,
France," £2,532.36 ",,,,,
France," £1,494.02 ",,,,,
France," £3,178.66 ",,,,,
France," £1,532.07 ",,,,,
France," £3,863.50 ",,,,,
France," £3,345.30 ",,,,,
France," £1,871.00 ",,,,,
France," £1,593.60 ",,,,,
France," £1,366.05 ",,,,,
France," £3,661.02 ",,,,,
France," £3,086.54 ",,,,,
France," £1,777.85 ",,,,,
France," £7,598.16 ",,,,,
France," £6,418.56 ",,,,,
France," £7,621.90 ",,,,,
France," £8,550.78 ",,,,,
France," £3,495.44 ",,,,,
France," £4,726.06 ",,,,,
France," £2,180.64 ",,,,,
France," £2,297.25 ",,,,,
France," £3,642.24 ",,,,,
France," £1,959.39 ",,,,,
France," £5,510.54 ",,,,,
France," £2,850.85 ",,,,,
France," £2,394.99 ",,,,,
France," £2,103.92 ",,,,,
France," £8,124.98 ",,,,,
France," £3,338.92 ",,,,,
France," £3,045.20 ",,,,,
France," £2,819.28 ",,,,,
France," £4,646.88 ",,,,,
France," £3,278.25 ",,,,,
France," £4,301.15 ",,,,,
France," £1,610.80 ",,,,,
France," £1,739.70 ",,,,,
France," £2,153.46 ",,,,,
France," £2,944.80 ",,,,,
France," £2,926.06 ",,,,,
France," £3,520.92 ",,,,,
France," £3,146.22 ",,,,,
France," £2,018.10 ",,,,,
France," £2,131.75 ",,,,,
France," £1,554.34 ",,,,,
France," £3,536.00 ",,,,,
France," £1,678.04 ",,,,,
France," £5,438.58 ",,,,,
France," £4,257.49 ",,,,,
France," £3,273.93 ",,,,,
France," £2,972.62 ",,,,,
France," £2,610.72 ",,,,,
France," £1,143.24 ",,,,,
France, £946.08 ,,,,,
France," £3,971.97 ",,,,,
France," £3,371.61 ",,,,,
France," £3,150.40 ",,,,,
France, £941.76 ,,,,,
Japan," £6,445.89 ",,,,,
Japan," £6,366.58 ",,,,,
Japan," £6,747.78 ",,,,,
Japan," £3,160.82 ",,,,,
Japan," £1,715.28 ",,,,,
Japan," £2,685.76 ",,,,,
Japan," £1,695.79 ",,,,,
Japan," £4,887.20 ",,,,,
Japan," £1,168.65 ",,,,,
Japan," £2,863.30 ",,,,,
Japan," £4,022.10 ",,,,,
Japan," £2,621.00 ",,,,,
Japan," £8,197.20 ",,,,,
Japan," £2,423.00 ",,,,,
Japan," £4,059.00 ",,,,,
Japan," £3,252.78 ",,,,,
Japan," £4,380.87 ",,,,,
Japan," £1,686.30 ",,,,,
Japan," £2,532.14 ",,,,,
Japan," £5,458.11 ",,,,,
Japan," £1,418.70 ",,,,,
Japan," £3,040.45 ",,,,,
Japan," £1,901.60 ",,,,,
Japan," £7,406.08 ",,,,,
Japan," £4,212.26 ",,,,,
Japan," £4,111.02 ",,,,,
Japan," £5,232.96 ",,,,,
Japan," £3,893.54 ",,,,,
Japan," £5,532.88 ",,,,,
Japan," £1,883.87 ",,,,,
Japan," £7,242.70 ",,,,,
Japan," £4,235.50 ",,,,,
Japan," £3,458.28 ",,,,,
Japan," £1,170.50 ",,,,,
Japan," £3,762.24 ",,,,,
Japan, £840.24 ,,,,,
